Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-07-25,2790.1,2417.0,2541.95,2542.1,2541.9,2542.0,55775.63808597
2017-07-26,2612.0,2404.0,2511.05,2511.0,2511.0,2511.1,32960.76679518
2017-07-27,2679.7,2503.20841641,2679.65,2679.5,2679.6,2679.7,31654.75087282
2017-07-28,2820.0,2651.0,2787.45,2787.5,2787.4,2787.5,41395.61221531
2017-07-29,2800.0,2662.0,2699.15,2699.0,2698.9,2699.4,23981.38000221
2017-07-30,2760.0,2582.9,2730.8,2730.0,2730.3,2731.3,34478.91048374
2017-07-31,2883.5,2694.4,2848.05,2848.0,2848.0,2848.1,28480.80078349
2017-08-01,2902.2,2604.0,2706.05,2706.0,2706.0,2706.1,42472.7462243
2017-08-02,2758.0,2610.0,2689.05,2689.2,2689.0,2689.1,23326.72115873
2017-08-03,2820.0,2673.4,2804.95,2804.9,2804.9,2805.0,17103.84047636
2017-08-04,2876.0,2762.1,2853.95,2854.0,2853.9,2854.0,18816.30228367
2017-08-05,3339.5,2842.8,3235.2,3234.7,3234.7,3235.7,50677.69131739
2017-08-06,3315.5,3155.8,3251.45,3250.2,3250.4,3252.5,16512.75891773
2017-08-07,3440.0,3190.0,3387.75,3388.0,3387.5,3388.0,24367.22557715
2017-08-08,3483.8,3340.0,3450.55,3450.7,3450.5,3450.6,32193.96428069
2017-08-09,3451.2,3235.1,3293.1,3292.3,3292.8,3293.4,26244.01119172
2017-08-10,3447.0,3295.1,3425.55,3425.6,3425.5,3425.6,19261.00935109
2017-08-11,3675.3,3380.0,3664.0,3663.2,3663.2,3664.8,24799.11082413
2017-08-12,3970.1,3589.5,3834.5,3834.6,3834.4,3834.6,38993.85991439
2017-08-13,4190.0,3810.0,4109.25,4109.0,4109.0,4109.5,48187.09884563
2017-08-14,4320.0,3951.0,4247.95,4247.9,4247.9,4248.0,33609.08779582
2017-08-15,4430.0,3832.5,4182.15,4182.1,4182.1,4182.2,64693.06033676
2017-08-16,4380.0,3925.1,4324.85,4324.7,4324.7,4325.0,34444.21472507
2017-08-17,4492.3,4152.0,4311.7,4315.2,4308.4,4315.0,41233.30559399
2017-08-18,4360.0,3954.0,4105.5,4101.5,4103.0,4108.0,46468.29258882
2017-08-19,4187.0,3907.0,4154.95,4154.5,4154.6,4155.3,41679.52123745
2017-08-20,4199.9,4045.5,4139.95,4139.9,4139.9,4140.0,23204.37488621
2017-08-21,4140.4,3951.0,4009.1,4007.7,4007.7,4010.5,28694.08691926
2017-08-22,4141.9,3599.0,4038.05,4038.0,4038.0,4038.1,61237.38743088
2017-08-23,4255.2,4014.5,4143.4,4143.2,4143.3,4143.5,28280.67393303
2017-08-24,4340.7,4089.9,4331.15,4331.2,4331.1,4331.2,20289.48296381
2017-08-25,4464.2,4250.0,4363.85,4363.8,4363.8,4363.9,29633.62497691
2017-08-26,4364.0,4240.7,4339.05,4337.6,4337.8,4340.3,15042.39919359
2017-08-27,4406.7,4304.4,4338.0,4338.0,4337.9,4338.1,11298.84714619
2017-08-28,4395.5,4175.0,4369.95,4369.9,4369.9,4370.0,21264.29484791
2017-08-29,4648.8,4325.1,4602.75,4602.7,4602.7,4602.8,32433.7204406
2017-08-30,4643.0,4481.0,4571.25,4571.5,4571.2,4571.3,17221.66043662
2017-08-31,4749.9,4566.9,4725.75,4725.7,4725.7,4725.8,18426.10565897
2017-09-01,4936.9,4660.0,4863.85,4863.8,4863.8,4863.9,28435.74499117
2017-09-02,4970.0,4400.1,4435.75,4435.8,4435.7,4435.8,54498.39083032
2017-09-03,4699.9,4331.0,4562.95,4563.0,4562.9,4563.0,34156.03870229
2017-09-04,4621.0,4052.0,4250.15,4250.1,4250.1,4250.2,57641.4147219
2017-09-05,4448.0,3900.1,4447.95,4448.0,4447.9,4448.0,57557.78834067
2017-09-06,4633.7,4352.4,4609.85,4614.4,4605.1,4614.6,40566.83652289
2017-09-07,4675.0,4455.1,4619.3,4622.0,4616.1,4622.5,23309.31323085
2017-09-08,4694.9,4105.0,4311.4,4314.7,4308.1,4314.7,59983.42828249
2017-09-09,4395.2,4151.0,4339.25,4338.5,4338.5,4340.0,31851.21744691
2017-09-10,4349.9,3974.1,4262.65,4262.7,4262.6,4262.7,45285.89734059
2017-09-11,4383.2,4123.0,4208.45,4208.5,4208.4,4208.5,31850.72373692
2017-09-12,4379.0,4050.0,4168.3,4169.5,4167.1,4169.5,39448.53089813
2017-09-13,4169.7,3731.7,3935.35,3935.1,3935.1,3935.6,70069.04966924
2017-09-14,3936.0,3258.0,3297.9,3296.6,3296.8,3299.0,123047.84879255
2017-09-15,3809.0,2980.4,3742.6,3741.4,3741.3,3743.9,187869.18658424
2017-09-16,3875.0,3511.1,3710.95,3710.6,3710.8,3711.1,71755.89432528
2017-09-17,3782.0,3465.1,3701.1,3701.0,3700.9,3701.3,37076.77951371
2017-09-18,4119.0,3645.5,4048.95,4049.0,4048.0,4049.9,58980.80889905
2017-09-19,4114.0,3836.2,3917.0,3917.7,3916.8,3917.2,47806.46753219
2017-09-20,4049.0,3829.0,3948.95,3949.0,3948.9,3949.0,30525.23067074
2017-09-21,3958.1,3560.0,3620.15,3620.1,3620.1,3620.2,59077.78403103
2017-09-22,3748.0,3490.0,3604.4,3604.1,3604.1,3604.7,50152.06383457
2017-09-23,3808.7,3555.0,3751.25,3751.8,3750.6,3751.9,25229.41856733
2017-09-24,3785.7,3615.5,3680.65,3681.0,3680.6,3680.7,21618.76650228
2017-09-25,3977.0,3652.0,3924.4,3924.5,3924.3,3924.5,39622.86583261
2017-09-26,3985.0,3838.0,3885.85,3886.0,3885.8,3885.9,21715.63473766
